Title,URL,Upload Date,Views
"Python Tutorial 30: Dictionaries And While Loops","https://www.youtube.com/watch?v=I0Ziim_9lqc&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=30&pp=iAQB","5 years ago","4.6"
"Python Tutorial 31: Nested While Loops","https://www.youtube.com/watch?v=D_totfvNytw&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=31&pp=iAQB","5 years ago","4.6"
"Python Tutorial 32 : Functions - 1","https://www.youtube.com/watch?v=nh-4pMuCVWI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=32&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","130"
"Python Tutorial 33 : Functions - 2(Arbitrary Arguments)","https://www.youtube.com/watch?v=A7KiscWV4rU&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=33&pp=iAQB","5 years ago","41"
"Python Tutorial 34 : Function - 3 (Keyword Arguments)","https://www.youtube.com/watch?v=k34-wuN864c&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=34&pp=iAQB","5 years ago","23"
"Python Tutorial 35 : Functions - 4(Default arguments, pass and return)","https://www.youtube.com/watch?v=0-QhiVlB7aE&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=35&pp=iAQB","5 years ago","19"
"Python Tutorial 36 : Recursion","https://www.youtube.com/watch?v=9uAaECsE00A&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=36&pp=iAQB","5 years ago","13"
"Python Tutorial 37 : Variable Scope","https://www.youtube.com/watch?v=EY1304DUYds&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=37&pp=iAQB","5 years ago","12"
"Python Tutorial 38 : Anonymous Function(lambda function)","https://www.youtube.com/watch?v=8CreFqw5H8w&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=38&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","10"
"Python Tutorial 39 : Fibonacci Sequence/ Series","https://www.youtube.com/watch?v=nv3HZRCJNoo&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=39&pp=iAQB","5 years ago","13"
"Python Tutorial 40 : Python Modules","https://www.youtube.com/watch?v=uXafIDrYUGI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=40&pp=iAQB","5 years ago","12"
"Python Tutorial 41 : Building simple image downloader","https://www.youtube.com/watch?v=ABhCtzSlhlo&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=41&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","501"
"Python Tutorial 42 : Classes And Objects - 1","https://www.youtube.com/watch?v=JxZ15RKyUTM&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=42&pp=iAQB","5 years ago","22"
"Python Tutorial 43 : Classes and Objects - 2","https://www.youtube.com/watch?v=MUcMHoyF0Ls&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=43&pp=iAQB","5 years ago","21"
"Python Tutorial 44 : Classes And Objects - 3","https://www.youtube.com/watch?v=8gOMCSvjSK4&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=44&pp=iAQB","5 years ago","13"
"Python Tutorial 45 : Classes And Objects - 3","https://www.youtube.com/watch?v=1SlMgA3UkSQ&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=45&pp=iAQB","5 years ago","9"
"Python Tutorial 46 : Classes And Objects - 4","https://www.youtube.com/watch?v=cP0R1bq7ac8&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=46&pp=iAQB","5 years ago","14"
"Python Tutorial 47 :  Classes And Objects - 5","https://www.youtube.com/watch?v=ja36v2j_WiA&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=47&pp=iAQB","5 years ago","7"
"Python Tutorial 48 : Classes And Object - 6","https://www.youtube.com/watch?v=eB7hGcm8G1U&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=48&pp=iAQB","5 years ago","8"
"Python Tutorial 49 : Classes And Objects - 7","https://www.youtube.com/watch?v=NRy0-qo35qY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=49&pp=iAQB","5 years ago","13"
"Python Tutorial 50 : Classes And Objects - 8","https://www.youtube.com/watch?v=sqtSCh4kvfY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=50&pp=iAQB","5 years ago","12"
"Python Tutorial 51 : Practice (Mini series - 1)","https://www.youtube.com/watch?v=NVt5QQzxYzM&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=51&pp=iAQB","5 years ago","18"
"Python Tutorial 52 : Practice(Mini series - 2)[Web Crawler]","https://www.youtube.com/watch?v=9tzIMZNrtA0&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=52&pp=iAQB","5 years ago","18"
"Python Tutorial 53 : Web Crawler (Mini Series - 3)","https://www.youtube.com/watch?v=QVq__kigDr0&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=53&pp=iAQB","5 years ago","38"
"Python Tutorial 54 : Web Crawler image downloader (Mini Series - 4)","https://www.youtube.com/watch?v=B2fqUOOtOWE&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=54&pp=iAQB","5 years ago","114"
"Python Tutorial 55 : Web Crawler (Mini Series - 5)","https://www.youtube.com/watch?v=RIxo5sGVzcU&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=55&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","24"
"Python Tutorial 56 : Build A Program To Convert Text To Speech","https://www.youtube.com/watch?v=nAQFtEeNWuQ&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=56&pp=iAQB","5 years ago","22"
"Create Your Own Audio Book with Python (Python Tutorial : 57)","https://www.youtube.com/watch?v=-n-GD7R8DiI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=57&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","33"
"Python Tutorial 58 : Change voice , volume and rate of python text to speech module","https://www.youtube.com/watch?v=Ry8Q_ZMaeug&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=58&pp=iAQB","5 years ago","311"
"Python Tutorial 59 : Polymorphism Introduction","https://www.youtube.com/watch?v=LZ5CCiPtJUQ&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=59&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","20"
"Python Tutorial 60 : Duck Typing In Python ! Quack Quack !","https://www.youtube.com/watch?v=dsJKZ8rspQU&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=60&pp=iAQB","5 years ago","458"
