Title,URL,Upload Date,Views
"دورة اختبار اختراق الويب | مقدمة","https://www.youtube.com/watch?v=PLxdE0DrstA&list=PLnEu5z2HM4uy__hzIgomFBNHQdtcGcJHl&index=1&pp=iAQB","11 days ago","940"
"دورة اختبار اختراق الويب | Authentication Attacks | Part 1","https://www.youtube.com/watch?v=maf0p54Dv0I&list=PLnEu5z2HM4uy__hzIgomFBNHQdtcGcJHl&index=2&pp=iAQB","11 days ago","757"
"دورة اختبار اختراق الويب | Authentication Attacks | Lab 1","https://www.youtube.com/watch?v=a-htjxMW95Y&list=PLnEu5z2HM4uy__hzIgomFBNHQdtcGcJHl&index=3&t=5s&pp=iAQB","7 days ago","262"
