Title,URL,Upload Date,Views
"Web App Penetration Testing - #1 - Setting Up Burp Suite","https://www.youtube.com/watch?v=YCCrVtvAu2I&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=1&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #2 - Spidering & DVWA","https://www.youtube.com/watch?v=pA_kTQSNthk&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=2&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"Web App Penetration Testing - #3 - Brute Force With Burp Suite","https://www.youtube.com/watch?v=cL9NsXpUqYI&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=3&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #4 - Web Application Firewall Detection With WAFW00F","https://www.youtube.com/watch?v=EmWXfq51pE0&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=4&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #5 - Target Scope And Spidering","https://www.youtube.com/watch?v=Kw3m37ebxmQ&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=5&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #6 - Discovering Hidden Files With ZAP","https://www.youtube.com/watch?v=41OlmzEODgU&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=6&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"Web App Penetration Testing - #7 - WordPress Vulnerability Scanning & Username Enumeration","https://www.youtube.com/watch?v=JGIUzPq2Koc&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=7&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #9 - Load Balancer Scan","https://www.youtube.com/watch?v=d5MqAj2tYNw&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=8&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #10 - XSS(Reflected, Stored & DOM)","https://www.youtube.com/watch?v=SHmQ3sQFeLE&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=9&pp=iAQB","N/A","N/A"
"Web App Penetration Testing With Zap - #11 - Configuring The Proxy","https://www.youtube.com/watch?v=9I70jk2SbOQ&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=10&pp=iAQB","N/A","N/A"
"Web App Penetration Testing  - #12 - DirBuster","https://www.youtube.com/watch?v=Hnz1d4WmD5Y&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=11&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"Web App Penetration Testing  - #13 - CSRF (Cross Site Request Forgery)","https://www.youtube.com/watch?v=TwG0Rd0hr18&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=12&pp=iAQB","N/A","N/A"
"How To Install OWASP Juice Shop","https://www.youtube.com/watch?v=tvNKp1QXV_8&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=13&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #14 - Cookie Collection & Reverse Engineering","https://www.youtube.com/watch?v=qtr0qtptYys&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=14&pp=iAQB","N/A","N/A"
"Web App Penetration Testing - #15 - HTTP Attributes (Cookie Stealing)","https://www.youtube.com/watch?v=8s3ChNKU85Q&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=15&pp=iAQB","N/A","N/A"
"OWASP Juice Shop - SQL Injection","https://www.youtube.com/watch?v=nH4r6xv-qGg&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=16&pp=iAQB","N/A","N/A"
"DotDotPwn - Directory Traversal Fuzzing","https://www.youtube.com/watch?v=kkSzmhJD73s&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=17&pp=iAQB","N/A","N/A"
"Bug Bounty Hunting - iframe Injection & HTML Injection","https://www.youtube.com/watch?v=RoaL_ugswto&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=18&pp=iAQB","N/A","N/A"
"Heartbleed Exploit - Discovery & Exploitation","https://www.youtube.com/watch?v=SgJm0C6jzbo&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=19&pp=iAQB","N/A","N/A"
"Bug Bounty Hunting - PHP Code Injection","https://www.youtube.com/watch?v=GE2HyC7Gwrs&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=20&pp=iAQB","N/A","N/A"
"bWAPP - HTML Injection - Reflected POST","https://www.youtube.com/watch?v=ib3ZKFfRn3E&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=21&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"bWAPP - HTML Injection - Stored (Blog)","https://www.youtube.com/watch?v=eQIYhvKCWx4&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=22&pp=iAQB","N/A","N/A"
"bWAPP - OS Command Injection With Commix (All levels)","https://www.youtube.com/watch?v=5-1QLbVa8YE&list=PLBf0hzazHTGO3EpGAs718LvLsiMIv9dSC&index=23&pp=iAQB","N/A","N/A"
