Title,URL,Upload Date,Views
"Open Redirect Vulnerability Explained | Ethical Hacking Tutorial | Bug bounty poc","https://www.youtube.com/watch?v=wBvhD41OOWg&list=PL5nlkEnm87NxvokNtyA0W5Qf9709Lc0GI&index=1&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"Open Redirect Exploitation via Stored XSS (Cross-Site Scripting) | VDP Poc | Educational Purpose","https://www.youtube.com/watch?v=T0j7ZTcx9CU&list=PL5nlkEnm87NxvokNtyA0W5Qf9709Lc0GI&index=2&pp=iAQB","N/A","N/A"
"Open Redirect Vulnerability Found on Bugcrowd🔥| $$$ Bug Bounty |Educational Purpose Only","https://www.youtube.com/watch?v=SofY_FxSvjg&list=PL5nlkEnm87NxvokNtyA0W5Qf9709Lc0GI&index=3&pp=iAQB","N/A","N/A"
