#,title,videoUrl,videoId,publishedAt,position
1,HTB Registration CTF Walkthrough (Arabic),https://www.youtube.com/watch?v=lg6EPKU-4E0&list=PLDRMxi70CdSDfN1Eyq7q-48o91Sz1_AFM&index=1,lg6EPKU-4E0,2020-09-07T03:15:44Z,0
2,DVWA Practice Lab Installation (Arabic),https://www.youtube.com/watch?v=utkU54XVP-8&list=PLDRMxi70CdSDfN1Eyq7q-48o91Sz1_AFM&index=2,utkU54XVP-8,2020-09-01T05:03:17Z,1
3,bWAPP Practice Lab Installation (Arabic),https://www.youtube.com/watch?v=08kge5Lg2bk&list=PLDRMxi70CdSDfN1Eyq7q-48o91Sz1_AFM&index=3,08kge5Lg2bk,2020-09-01T03:23:37Z,2
4,XVWA Practice Lab Installation (Arabic),https://www.youtube.com/watch?v=d4Sm5uZBuGg&list=PLDRMxi70CdSDfN1Eyq7q-48o91Sz1_AFM&index=4,d4Sm5uZBuGg,2020-09-07T01:46:14Z,3
5,KaliLinux Installation on VirtualBox (Arabic),https://www.youtube.com/watch?v=MjwaeCi2QrQ&list=PLDRMxi70CdSDfN1Eyq7q-48o91Sz1_AFM&index=5,MjwaeCi2QrQ,2021-01-18T00:05:26Z,4
