Title,URL,Upload Date,Views
"Metasploit For Beginners - #1 - The Basics - Modules, Exploits & Payloads","https://www.youtube.com/watch?v=8lR27r8Y_ik&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=1&pp=iAQB","N/A","N/A"
"Metasploit For Beginners - #2 - Understanding Metasploit Modules","https://www.youtube.com/watch?v=6SNHuWaLuhU&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=2&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"Metasploit For Beginners - #3 - Information Gathering - Auxiliary Scanners","https://www.youtube.com/watch?v=CYB6Uta9VTI&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=3&pp=iAQB","N/A","N/A"
"Metasploit For Beginners - #4 - Basic Exploitation","https://www.youtube.com/watch?v=AyMgYhwyGSE&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=4&pp=iAQB","N/A","N/A"
"Gaining Access - Web Server Hacking - Metasploitable - #1","https://www.youtube.com/watch?v=7K7kcLJ2sBI&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=5&pp=iAQB","N/A","N/A"
"Web Server Hacking - FTP Backdoor Command Execution With Metasploit - #2","https://www.youtube.com/watch?v=fsQ38Xg_U0k&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=6&pp=iAQB","N/A","N/A"
"Veil-Evasion Complete Tutorial","https://www.youtube.com/watch?v=iz1twCSJZyo&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=7&pp=iAQB","N/A","N/A"
"The Complete Meterpreter Guide | Privilege Escalation & Clearing Tracks","https://www.youtube.com/watch?v=xsyeL6xWWy4&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=8&pp=iAQB","N/A","N/A"
"Armitage Kali Linux Complete Tutorial","https://www.youtube.com/watch?v=JALmoY4LuT8&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=9&pp=iAQB","N/A","N/A"
"EternalBlue Tutorial - Doublepulsar With Metasploit (MS17-010)","https://www.youtube.com/watch?v=zKizx80w4Rk&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=10&pp=iAQB","N/A","N/A"
"Metasploit Community Web GUI  - Installation And Overview","https://www.youtube.com/watch?v=s08FVeHY6qw&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=11&pp=iAQB","N/A","N/A"
"How To Fix Metasploit V5 ""Exploit Failed: An Exploitation Error Occurred""","https://www.youtube.com/watch?v=wiavKUtSSb0&list=PLBf0hzazHTGN31ZPTzBbk70bohTYT7HSm&index=12&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
