#,title,videoUrl,videoId,publishedAt,position
33,30-CompTIA A+ | Connecting to and Setting up Networks Part 1مقدمة فى الشبكات,https://www.youtube.com/watch?v=PsjE96NTb7k&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=34,PsjE96NTb7k,2023-08-07T03:08:11Z,33
34,31-CompTIA A+ | Connecting to and Setting up Networks Part 2العنونة فى الشبكات,https://www.youtube.com/watch?v=P4kf3adHxa0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=35,P4kf3adHxa0,2023-09-02T13:44:03Z,34
35,32-CompTIA A+ | Connecting to and Setting up Networks Part 3العنونة فى الشبكات,https://www.youtube.com/watch?v=oVv12se6BmM&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=36,oVv12se6BmM,2023-09-06T07:21:46Z,35
36,33-CompTIA A+ | Connecting to and Setting up Networks Part 4بروتوكولات الشبكات,https://www.youtube.com/watch?v=pAZcxzC2K-E&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=37,pAZcxzC2K-E,2023-09-11T14:07:58Z,36
37,34-CompTIA A+ | Connecting to and Setting up Networks Part 5,https://www.youtube.com/watch?v=CU6RW6D6jKQ&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=38,CU6RW6D6jKQ,2023-11-01T07:00:04Z,37
38,35-CompTIA A+ | Connecting to and Setting up Networks Part 6,https://www.youtube.com/watch?v=Kg7rF5jnbV8&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=39,Kg7rF5jnbV8,2023-11-05T07:00:10Z,38
39,36-CompTIA A+ | Supporting Network Hardware Part 1 معدات الشبكات ج1,https://www.youtube.com/watch?v=Y_w1-dqax_c&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=40,Y_w1-dqax_c,2023-11-26T06:30:18Z,39
40,37-CompTIA A+ | Supporting Network Hardware Part 2 تهيئة واعداد كابل الشبكة 2,https://www.youtube.com/watch?v=7IVz45CH3zk&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=41,7IVz45CH3zk,2024-02-01T11:40:08Z,40
41,38-CompTIA A+ | Supporting Network Hardware Part 3 اكتشاف المشاكل واصلاحها,https://www.youtube.com/watch?v=Wey5FAfnzhw&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=42,Wey5FAfnzhw,2024-02-04T07:00:11Z,41
42,39-CompTIA A+ | Supporting Network Hardware Part 4 طرق حل المشاكل فى الشبكات,https://www.youtube.com/watch?v=SGxVl_sA3G8&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=43,SGxVl_sA3G8,2024-02-06T09:09:24Z,42
43,40- CompTIA A+ | Network Resources Part 1   مصادر الشبكة ج1,https://www.youtube.com/watch?v=qxDnPx8ZZ98&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=44,qxDnPx8ZZ98,2024-02-25T10:59:20Z,43
44,41- CompTIA A+ | Network Resources Part2 مصادر الشبكة ج2,https://www.youtube.com/watch?v=EePTbL7aTJA&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=45,EePTbL7aTJA,2024-02-27T06:00:07Z,44
45,42- CompTIA A+ | Network Resources Part مصادر الشبكة ج3,https://www.youtube.com/watch?v=y21QBUx53I0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=46,y21QBUx53I0,2024-06-01T05:00:36Z,45
46,43-CompTIA A+ | Network Resources Part مصادر الشبكة ج4,https://www.youtube.com/watch?v=M89n0wOOIPM&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=47,M89n0wOOIPM,2024-06-08T18:08:52Z,46
47,44-CompTIA A+ | Network Resources Part 5 | Cloud Computing شرح الحوسبة السحابية,https://www.youtube.com/watch?v=qMYz5Y8ibRI&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=48,qMYz5Y8ibRI,2024-09-21T14:53:22Z,47
48,45-CompTIA A+ | Supporting Printers Part 1 صيانة الطابعات ج1,https://www.youtube.com/watch?v=K6QLJAqRFi0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=49,K6QLJAqRFi0,2024-06-15T06:00:09Z,48
49,46-CompTIA A+ | Supporting Printers Part 2 دعم الطابعات ج2,https://www.youtube.com/watch?v=LUmT3LVEzvI&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=50,LUmT3LVEzvI,2024-09-21T14:39:50Z,49
50,47-CompTIA A+ | Supporting Printers Part 3 دعم الطابعات ج3,https://www.youtube.com/watch?v=gBst-BB830w&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=51,gBst-BB830w,2024-09-28T07:27:18Z,50
51,48-CompTIA A+ | Security Strategies Part 1,https://www.youtube.com/watch?v=D36k-l6zO0g&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=52,D36k-l6zO0g,2024-10-05T15:06:55Z,51
52,49-CompTIA A+ | Security Strategies Part 2,https://www.youtube.com/watch?v=jMnWP77Vu4I&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=53,jMnWP77Vu4I,2024-10-13T07:00:27Z,52
53,CompTIA A+ | 50-Security Strategies Part 3,https://www.youtube.com/watch?v=0q2mFeS1oos&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=54,0q2mFeS1oos,2025-04-14T07:00:01Z,53
54,CompTIA A+ | 52-Security Strategies Part 5,https://www.youtube.com/watch?v=1jDekrHOMWg&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=55,1jDekrHOMWg,2025-04-28T06:00:03Z,54
55,CompTIA A+ | 51-Security Strategies Part 4,https://www.youtube.com/watch?v=jfNlOOqAON4&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=56,jfNlOOqAON4,2025-04-21T14:35:56Z,55
56,CompTIA A+ | 53-Linux Basics Part 1 أساسيات نظام لينوكس ج1,https://www.youtube.com/watch?v=bFGU-D67zH4&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=57,bFGU-D67zH4,2025-05-05T06:00:34Z,56
57,CompTIA A+ | 54- Linux Part2,https://www.youtube.com/watch?v=EBLBBpbwbzo&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=58,EBLBBpbwbzo,2025-05-19T06:00:11Z,57
