Title,URL,Upload Date,Views
"The Basics For Hackers: JavaScript - Part 2","https://www.youtube.com/watch?v=AbW7YSa5BCs&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=1&pp=iAQB","N/A","N/A"
"The Basics For Hackers: Exploiting JavaScript","https://www.youtube.com/watch?v=1Jq-O79Ax-k&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=2&pp=iAQB0gcJCU0KAYcqIYzv","N/A","N/A"
"The Basics For Hackers: JavaScript","https://www.youtube.com/watch?v=zQg4Q1RpdzY&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=3&pp=iAQB","N/A","N/A"
"DAST - Javascript Dynamic Analysis","https://www.youtube.com/watch?v=_v8r_t4v6hQ&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=4&pp=iAQB","N/A","N/A"
"JavaScript Is A Goldmine For Bug Bounty Hunters","https://www.youtube.com/watch?v=8sfc0PlVyWA&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=5&pp=iAQB","N/A","N/A"
"Should i learn javascript before i start XSS? - Cheesy questions with uncle rat","https://www.youtube.com/watch?v=QtSSvG8j1S0&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=6&pp=iAQB","N/A","N/A"
"Bug Bounty Bits: JavaScript matters, let me tell you why you should probably read that huge .js file","https://www.youtube.com/watch?v=qKPRGXaycOQ&list=PLd92v1QxPOpr6CLL6f4SL2tdp4uZO9lNW&index=7&pp=iAQB","N/A","N/A"
